url,region,region_url,ask_price,year_of_manufacturing,manufacturer,model,condition,cylinders,fuel,odometer_reading,title_status,transmission,VIN,drive,type,shade,posting_date
https://anchorage.craigslist.org/ctd/d/anchorage-2019-ford-f350-lariat-67l-v8/7311223031.html,anchorage / mat-su,https://anchorage.craigslist.org,87995,2019,ford,f350 drw,like new,8 cylinders,diesel,21183,clean,automatic,1FT8W3DT9KEE04069,4wd,truck,grey,2021-04-22T21:25:07-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2015-ford-focus-se-sedan-4d/7311219989.html,anchorage / mat-su,https://anchorage.craigslist.org,7900,2015,ford,focus,,3 cylinders,gas,95153,clean,automatic,1FADP3FE7FL347582,fwd,sedan,,2021-04-22T21:01:48-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2009-chevrolet-silverado-1500/7311209813.html,anchorage / mat-su,https://anchorage.craigslist.org,19999,2009,chevrolet,silverado 1500 crew cab,,8 cylinders,gas,189090,clean,automatic,2GCEK33M591130499,4wd,pickup,silver,2021-04-22T20:03:01-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2013-chevrolet-silverado-3500/7311209792.html,anchorage / mat-su,https://anchorage.craigslist.org,0,2013,chevrolet,silverado 3500 hd crew cab,,8 cylinders,diesel,140070,clean,automatic,1GC4K1E82DF174493,4wd,pickup,custom,2021-04-22T20:02:55-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2012-subaru-impreza-wrx-sti/7311209657.html,anchorage / mat-su,https://anchorage.craigslist.org,16995,2012,subaru,impreza,,4 cylinders,gas,11900,clean,manual,JF1GV8J69CL002212,,sedan,custom,2021-04-22T20:02:06-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2008-toyota-tundra-double-cab/7311209635.html,anchorage / mat-su,https://anchorage.craigslist.org,14995,2008,toyota,tundra double cab,,8 cylinders,gas,182143,clean,automatic,5TFBV54188X069757,4wd,pickup,custom,2021-04-22T20:01:58-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2014-cadillac-ats-36l-luxury/7311209612.html,anchorage / mat-su,https://anchorage.craigslist.org,13995,2014,cadillac,ats,,6 cylinders,other,110697,clean,automatic,1G6AH5S30E0122885,,sedan,custom,2021-04-22T20:01:50-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2008-toyota-tundra-crewmax/7311209582.html,anchorage / mat-su,https://anchorage.craigslist.org,11995,2008,toyota,tundra crewmax,,8 cylinders,gas,240824,clean,automatic,5TFDV54108X078977,4wd,pickup,custom,2021-04-22T20:01:44-0800
https://anchorage.craigslist.org/ctd/d/anchorage-1999-western-star/7311209538.html,anchorage / mat-su,https://anchorage.craigslist.org,19995,1999,,Western Star Conventional,,6 cylinders,,123456,clean,manual,2WKEDDCJ5XK959166,rwd,other,custom,2021-04-22T20:01:36-0800
https://anchorage.craigslist.org/cto/d/anchorage-2004-pontiac-montana-van-sold/7311209166.html,anchorage / mat-su,https://anchorage.craigslist.org,2800,2004,pontiac,montana extended,excellent,6 cylinders,gas,11200,clean,automatic,,4wd,van,red,2021-04-22T19:59:51-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2018-honda-cr-ex-awd/7311203369.html,anchorage / mat-su,https://anchorage.craigslist.org,27900,2018,honda,cr-v,,4 cylinders,gas,30992,clean,automatic,2HKRW2H80JH614773,4wd,SUV,grey,2021-04-22T19:30:58-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2020-buick-encore-awd-4dr/7311197335.html,anchorage / mat-su,https://anchorage.craigslist.org,24500,2020,buick,encore,,4 cylinders,gas,12114,clean,other,KL4CJGSB9LB056166,4wd,SUV,white,2021-04-22T19:03:44-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2011-chevrolet-silverado-3500/7311196998.html,anchorage / mat-su,https://anchorage.craigslist.org,32999,2011,chevrolet,silverado,,8 cylinders,diesel,204688,clean,automatic,1GC4K1C87BF198403,4wd,pickup,black,2021-04-22T19:02:22-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2015-ford-f550-super-duty/7311196979.html,anchorage / mat-su,https://anchorage.craigslist.org,59999,2015,ford,f550 super duty crew cab & chassis,,8 cylinders,diesel,73182,clean,automatic,1FD0W5HT5FEB40420,4wd,other,white,2021-04-22T19:02:16-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2012-chevrolet-impala-lt/7311196891.html,anchorage / mat-su,https://anchorage.craigslist.org,7900,2012,chevrolet,impala,,6 cylinders,gas,110038,clean,automatic,2G1WG5E35C1263303,fwd,sedan,silver,2021-04-22T19:01:57-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2005-ford-f150-supercrew-cab/7311196854.html,anchorage / mat-su,https://anchorage.craigslist.org,9900,2005,ford,f150 supercrew cab,,8 cylinders,gas,211597,clean,automatic,1FTPW145X5KC35820,4wd,pickup,white,2021-04-22T19:01:50-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2005-dodge-dakota-club-cab-st/7311196713.html,anchorage / mat-su,https://anchorage.craigslist.org,7900,2005,dodge,dakota club cab,,6 cylinders,gas,141514,clean,automatic,1D7HW22KX5S122717,4wd,pickup,white,2021-04-22T19:01:18-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2019-dodge-charger-sxt-awd/7311189358.html,anchorage / mat-su,https://anchorage.craigslist.org,29900,2019,dodge,charger,,6 cylinders,gas,14547,clean,other,2C3CDXJG1KH611678,4wd,sedan,red,2021-04-22T18:32:25-0800
https://anchorage.craigslist.org/cto/d/anchorage-mazda-626-lx-2001/7311185745.html,anchorage / mat-su,https://anchorage.craigslist.org,700,2001,mazda,626 lx,good,6 cylinders,gas,108694,rebuilt,automatic,,fwd,,,2021-04-22T18:19:13-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2020-ford-escape-sel-awd/7311181611.html,anchorage / mat-su,https://anchorage.craigslist.org,26499,2020,ford,escape,,3 cylinders,gas,10,clean,other,1FMCU9H66LUB26953,4wd,SUV,silver,2021-04-22T18:04:20-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2018-ford-150-xlt-4wd/7311181428.html,anchorage / mat-su,https://anchorage.craigslist.org,34550,2018,ford,f-150,,6 cylinders,gas,84247,clean,automatic,1FTFW1EG5JKD75702,4wd,truck,grey,2021-04-22T18:03:41-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2009-lexus-rx-350-awd/7311178763.html,anchorage / mat-su,https://anchorage.craigslist.org,9850,2009,lexus,rx 350,excellent,6 cylinders,gas,119415,rebuilt,automatic,2T2HK31U29C118811,4wd,SUV,silver,2021-04-22T17:54:21-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2015-lincoln-mkz-awd12k/7311177807.html,anchorage / mat-su,https://anchorage.craigslist.org,22995,2015,lincoln,mkz,,4 cylinders,gas,12727,clean,automatic,3LN6L2J99FR619646,,sedan,,2021-04-22T17:51:15-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2015-gmc-sierra-3500hd-4wd/7311177486.html,anchorage / mat-su,https://anchorage.craigslist.org,29995,2015,gmc,sierra 3500hd,,8 cylinders,diesel,155792,clean,automatic,1GT422C8XFF130740,4wd,pickup,,2021-04-22T17:50:17-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2015-bmw-320-xi-68k-miles/7311174862.html,anchorage / mat-su,https://anchorage.craigslist.org,17499,2015,bmw,320xi,,,gas,68000,clean,automatic,WBA3C3C50FP663711,4wd,sedan,red,2021-04-22T17:41:32-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2017-chevrolet-malibu-4dr-sdn/7311171778.html,anchorage / mat-su,https://anchorage.craigslist.org,23988,2017,chevrolet,malibu,,4 cylinders,gas,25039,clean,automatic,1G1ZH5SX0HF271780,fwd,sedan,blue,2021-04-22T17:31:54-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2020-chevrolet-equinox-awd/7311171711.html,anchorage / mat-su,https://anchorage.craigslist.org,23999,2020,chevrolet,equinox,,4 cylinders,gas,42850,clean,other,2GNAXUEV0L6104745,4wd,SUV,white,2021-04-22T17:31:41-0800
https://anchorage.craigslist.org/cto/d/wasilla-2015-dodge-ram-1500-big-horn/7311169438.html,anchorage / mat-su,https://anchorage.craigslist.org,18900,2015,ram,1500 big horn,excellent,8 cylinders,gas,128200,lien,automatic,,4wd,truck,black,2021-04-22T17:24:22-0800
https://anchorage.craigslist.org/cto/d/bend-1996-lexus-ls-400-show-quality/7311163344.html,anchorage / mat-su,https://anchorage.craigslist.org,11500,1996,lexus,ls 400,excellent,8 cylinders,gas,112544,clean,automatic,JT8BH22F6T0038205,rwd,sedan,white,2021-04-22T17:06:16-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2018-bmw-x2-xdrive28i/7311162342.html,anchorage / mat-su,https://anchorage.craigslist.org,33999,2018,bmw,x2 xdrive28i,,4 cylinders,gas,16975,clean,other,WBXYJ5C32JEF80557,4wd,SUV,blue,2021-04-22T17:03:22-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2018-kia-forte-lx-auto/7311162288.html,anchorage / mat-su,https://anchorage.craigslist.org,15799,2018,kia,forte,,4 cylinders,gas,12394,clean,automatic,3KPFK4A77JE209641,fwd,sedan,silver,2021-04-22T17:03:13-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2016-subaru-wrx-limited-awd/7311148960.html,anchorage / mat-su,https://anchorage.craigslist.org,25999,2016,subaru,wrx,excellent,4 cylinders,gas,105055,clean,manual,JF1VA1L60G9811754,4wd,sedan,blue,2021-04-22T16:27:13-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2016-ford-350-lariat-67l/7311145834.html,anchorage / mat-su,https://anchorage.craigslist.org,55999,2016,ford,f-350 lariat 6.7 diesel,excellent,8 cylinders,diesel,88501,clean,automatic,1FT8W3BT6GEA17957,4wd,truck,black,2021-04-22T16:19:05-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2016-ford-150-4wd-supercrew/7311129246.html,anchorage / mat-su,https://anchorage.craigslist.org,31995,2016,ford,f-150,,6 cylinders,gas,53427,clean,automatic,1FTEW1EP9GFA92801,4wd,pickup,,2021-04-22T15:38:22-0800
https://anchorage.craigslist.org/cto/d/palmer-2017-toyota-camry-se-for-sale-by/7311120883.html,anchorage / mat-su,https://anchorage.craigslist.org,16850,2017,toyota,camry,excellent,4 cylinders,gas,47500,clean,automatic,,fwd,sedan,red,2021-04-22T15:18:27-0800
https://anchorage.craigslist.org/cto/d/palmer-2018-dodge-grand-caravan-gt/7311113667.html,anchorage / mat-su,https://anchorage.craigslist.org,34900,2018,dodge,grand caravan gt,like new,6 cylinders,gas,51966,clean,automatic,,fwd,mini-van,black,2021-04-22T15:02:45-0800
https://anchorage.craigslist.org/ctd/d/wasilla-2009-dodge-ram-1500-crew-cab-ez/7311113682.html,anchorage / mat-su,https://anchorage.craigslist.org,0,2009,ram,1500 crew cab,,8 cylinders,gas,153866,clean,automatic,1D3HV13T79S703832,4wd,pickup,blue,2021-04-22T15:02:48-0800
https://anchorage.craigslist.org/ctd/d/wasilla-2014-gmc-sierra-1500-crew-cab/7311113137.html,anchorage / mat-su,https://anchorage.craigslist.org,0,2014,gmc,sierra 1500 crew cab,,6 cylinders,other,138201,clean,automatic,3GTU2TEH0EG411526,4wd,pickup,white,2021-04-22T15:01:32-0800
https://anchorage.craigslist.org/ctd/d/wasilla-2013-chevrolet-silverado-1500/7311113102.html,anchorage / mat-su,https://anchorage.craigslist.org,0,2013,chevrolet,silverado 1500 regular cab,,6 cylinders,gas,161965,clean,automatic,1GCNKPEX4DZ182110,4wd,pickup,white,2021-04-22T15:01:27-0800
https://anchorage.craigslist.org/ctd/d/wasilla-2014-kia-rio-ez-finance-we-take/7311113063.html,anchorage / mat-su,https://anchorage.craigslist.org,0,2014,kia,rio,,4 cylinders,gas,70375,clean,,KNADM4A30E6385177,,sedan,red,2021-04-22T15:01:23-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2008-chevrolet-chevy/7311108255.html,anchorage / mat-su,https://anchorage.craigslist.org,24995,2008,chevrolet,silverado,,,gas,109659,clean,automatic,1GBJK33K18F194564,4wd,other,white,2021-04-22T14:50:44-0800
https://anchorage.craigslist.org/ctd/d/puyallup-2014-ram-2500-mega-cab-laramie/7311106995.html,anchorage / mat-su,https://anchorage.craigslist.org,66977,2014,ram,2500 mega cab,excellent,6 cylinders,diesel,43866,clean,automatic,3C6UR5NL2EG308823,,,,2021-04-22T14:47:50-0800
https://anchorage.craigslist.org/ctd/d/puyallup-2016-ford-f150-supercrew-cab/7311106928.html,anchorage / mat-su,https://anchorage.craigslist.org,45988,2016,ford,f150 supercrew cab,excellent,6 cylinders,gas,53112,clean,automatic,1FTEW1EG7GKE94081,,,,2021-04-22T14:47:39-0800
https://anchorage.craigslist.org/ctd/d/puyallup-2015-gmc-sierra-2500-hd-crew/7311106721.html,anchorage / mat-su,https://anchorage.craigslist.org,56977,2015,gmc,sierra 2500 hd crew cab,excellent,8 cylinders,diesel,64454,clean,automatic,1GT12ZE84FF109942,,,,2021-04-22T14:47:12-0800
https://anchorage.craigslist.org/ctd/d/puyallup-2017-ford-f450-super-duty-crew/7311106656.html,anchorage / mat-su,https://anchorage.craigslist.org,86977,2017,ford,f450 super duty crew cab,excellent,8 cylinders,diesel,16806,clean,automatic,1FT8W4DT9HED67880,,,,2021-04-22T14:47:02-0800
https://anchorage.craigslist.org/ctd/d/puyallup-2017-ford-f350-super-duty-crew/7311106581.html,anchorage / mat-su,https://anchorage.craigslist.org,71977,2017,ford,f350 super duty crew cab,excellent,8 cylinders,diesel,31116,clean,automatic,1FT8W3BT4HEC64055,,,,2021-04-22T14:46:52-0800
https://anchorage.craigslist.org/ctd/d/puyallup-2014-ram-2500-crew-cab-laramie/7311106346.html,anchorage / mat-su,https://anchorage.craigslist.org,58988,2014,ram,2500 crew cab,excellent,6 cylinders,diesel,69751,clean,manual,3C6UR5FLXEG237319,,truck,red,2021-04-22T14:46:24-0800
https://anchorage.craigslist.org/ctd/d/puyallup-2017-ford-super-duty-350-drw/7311106114.html,anchorage / mat-su,https://anchorage.craigslist.org,83999,2017,ford,f350 super duty crew cab,excellent,8 cylinders,diesel,30650,clean,automatic,1FT8W3DT9HED67100,4wd,,black,2021-04-22T14:45:54-0800
https://anchorage.craigslist.org/ctd/d/puyallup-2016-ford-super-duty-350-srw/7311106001.html,anchorage / mat-su,https://anchorage.craigslist.org,57977,2016,ford,f350 super duty crew cab,excellent,8 cylinders,diesel,47689,clean,automatic,1FT8W3BT1GEC35689,4wd,,,2021-04-22T14:45:40-0800
https://anchorage.craigslist.org/ctd/d/puyallup-2018-ford-super-duty-350-srw/7311105910.html,anchorage / mat-su,https://anchorage.craigslist.org,72777,2018,ford,f350 super duty crew cab,excellent,8 cylinders,diesel,32158,clean,automatic,1FT8W3BT5JEC02802,4wd,pickup,grey,2021-04-22T14:45:28-0800
https://anchorage.craigslist.org/ctd/d/anchorage-1980-pontiac-trans-am-se/7311101641.html,anchorage / mat-su,https://anchorage.craigslist.org,29995,1980,pontiac,trans am,,,gas,23179,clean,automatic,2W87WAL148762,,other,black,2021-04-22T14:35:49-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2015-volkswagen-cc-line/7311100260.html,anchorage / mat-su,https://anchorage.craigslist.org,15995,2015,volkswagen,cc r-line,excellent,4 cylinders,gas,36055,clean,automatic,WVWBP7AN1FE828013,fwd,sedan,blue,2021-04-22T14:32:43-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2019-audi-sq5-prestige-awd/7311100213.html,anchorage / mat-su,https://anchorage.craigslist.org,55995,2019,audi,sq5 prestige awd,excellent,6 cylinders,gas,4806,clean,automatic,WA1C4AFY3K2084000,4wd,SUV,black,2021-04-22T14:32:37-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2018-ford-transit-connect-van/7311100198.html,anchorage / mat-su,https://anchorage.craigslist.org,25995,2018,ford,transit,excellent,4 cylinders,gas,6377,clean,automatic,NM0LS7E72J1374785,fwd,van,white,2021-04-22T14:32:35-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2020-jeep-grand-cherokee/7311100172.html,anchorage / mat-su,https://anchorage.craigslist.org,52995,2020,jeep,grand cherokee summit 4x4,excellent,6 cylinders,gas,8074,clean,automatic,1C4RJFJG7LC173195,4wd,SUV,black,2021-04-22T14:32:30-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2017-honda-accord-sedan-lx/7311100144.html,anchorage / mat-su,https://anchorage.craigslist.org,19995,2017,honda,accord sedan lx,excellent,4 cylinders,gas,31327,clean,automatic,1HGCR2F34HA177108,fwd,sedan,brown,2021-04-22T14:32:27-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2017-kia-optima-ex-heated/7311100122.html,anchorage / mat-su,https://anchorage.craigslist.org,18995,2017,kia,optima ex,excellent,4 cylinders,gas,42036,clean,automatic,5XXGU4L35HG154021,fwd,sedan,grey,2021-04-22T14:32:24-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2019-audi-q7-se-premium-plus/7311100090.html,anchorage / mat-su,https://anchorage.craigslist.org,48995,2019,audi,q7 se premium plus,excellent,6 cylinders,gas,19449,clean,automatic,WA1LAAF74KD044108,4wd,SUV,grey,2021-04-22T14:32:20-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2016-land-rover-range-rover/7311100034.html,anchorage / mat-su,https://anchorage.craigslist.org,52995,2016,rover,sport,excellent,8 cylinders,gas,53739,clean,automatic,SALWV2EF9GA552226,4wd,SUV,black,2021-04-22T14:32:13-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2013-chrysler-200-touring/7311100018.html,anchorage / mat-su,https://anchorage.craigslist.org,9995,2013,chrysler,200 touring,excellent,4 cylinders,gas,83598,clean,automatic,1C3CCBBB5DN694230,fwd,sedan,silver,2021-04-22T14:32:10-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2015-mercedes-benz-gla-250/7311099825.html,anchorage / mat-su,https://anchorage.craigslist.org,25995,2015,mercedes-benz,benz gla250 4matic awd,excellent,4 cylinders,gas,40968,clean,automatic,WDCTG4GB6FJ170092,4wd,SUV,black,2021-04-22T14:31:44-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2019-mazda-mazda6-touring/7311099810.html,anchorage / mat-su,https://anchorage.craigslist.org,22995,2019,mazda,6 touring,excellent,4 cylinders,gas,32876,clean,automatic,JM1GL1VM3K1500125,fwd,sedan,blue,2021-04-22T14:31:41-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2012-volkswagen-touareg-lux/7311099722.html,anchorage / mat-su,https://anchorage.craigslist.org,21995,2012,volkswagen,touareg lux 4x4,excellent,6 cylinders,diesel,79276,clean,automatic,WVGEK9BPXCD011210,4wd,SUV,grey,2021-04-22T14:31:29-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2016-chevrolet-corvette-z06/7311099658.html,anchorage / mat-su,https://anchorage.craigslist.org,74995,2016,chevrolet,corvette z06,excellent,8 cylinders,gas,7148,clean,manual,1G1YN2D65G5608603,rwd,coupe,grey,2021-04-22T14:31:22-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2014-chevrolet-chevy/7311092695.html,anchorage / mat-su,https://anchorage.craigslist.org,30995,2014,chevrolet,silverado,,,other,95321,clean,automatic,3GCUKSEC8EG284135,4wd,pickup,,2021-04-22T14:15:54-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2012-ford-550-super-duty-4x4/7311083011.html,anchorage / mat-su,https://anchorage.craigslist.org,29995,2012,ford,f-550,,,diesel,118754,clean,,1FD0W5HT4CEA82778,4wd,other,white,2021-04-22T13:55:58-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2017-jeep-renegade-sport-4x4/7311076273.html,anchorage / mat-su,https://anchorage.craigslist.org,22999,2017,jeep,renegade sport,excellent,4 cylinders,gas,42643,clean,automatic,ZACCJBAB4HPE91183,4wd,SUV,silver,2021-04-22T13:42:24-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2017-toyota-rav-le-awd/7311074908.html,anchorage / mat-su,https://anchorage.craigslist.org,25999,2017,toyota,rav 4 le,excellent,4 cylinders,gas,46699,clean,automatic,2T3BFREV0HW624050,4wd,SUV,white,2021-04-22T13:39:40-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2014-ram-1500-slt-57-quad-cab/7311074653.html,anchorage / mat-su,https://anchorage.craigslist.org,19999,2014,ram,1500 slt,good,8 cylinders,gas,130149,clean,automatic,1C6RR7GT5ES365377,4wd,truck,grey,2021-04-22T13:39:09-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2013-chevrolet-chevy/7311073130.html,anchorage / mat-su,https://anchorage.craigslist.org,23995,2013,chevrolet,silverado,,,gas,98238,clean,automatic,1GC1KVCG2DF148822,4wd,pickup,white,2021-04-22T13:35:58-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2018-kia-rio-lx-manual/7311072990.html,anchorage / mat-su,https://anchorage.craigslist.org,16991,2018,kia,rio,,4 cylinders,gas,19010,clean,automatic,3KPA24AB6JE079088,fwd,sedan,white,2021-04-22T13:35:44-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2013-lexus-gs-350-awd-low/7311071026.html,anchorage / mat-su,https://anchorage.craigslist.org,27999,2013,lexus,gs 350 awd,excellent,6 cylinders,gas,63629,clean,automatic,JTHCE1BL0D5011728,4wd,sedan,silver,2021-04-22T13:31:54-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2017-mercedes-gla-250-4matic/7311070107.html,anchorage / mat-su,https://anchorage.craigslist.org,28999,2017,mercedes-benz,gla 250awd,excellent,4 cylinders,gas,25432,clean,automatic,WDCTG4GB9HJ286289,4wd,SUV,silver,2021-04-22T13:30:14-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2016-mercedes-benz-300-4matic/7311069461.html,anchorage / mat-su,https://anchorage.craigslist.org,28999,2016,mercedes-benz,benz,like new,4 cylinders,gas,17567,clean,automatic,55SWF4KB3GU159393,4wd,sedan,grey,2021-04-22T13:28:56-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2019-hyundai-tucson-se-awd/7311068862.html,anchorage / mat-su,https://anchorage.craigslist.org,20999,2019,hyundai,tucson se awd,excellent,4 cylinders,gas,25120,clean,automatic,KM8J2CA47KU879909,4wd,SUV,white,2021-04-22T13:27:44-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2017-ford-fusion-titanium-awd/7311068249.html,anchorage / mat-su,https://anchorage.craigslist.org,19499,2017,ford,fusion titanium,excellent,4 cylinders,gas,46686,clean,automatic,3FA6P0D94HR222377,4wd,sedan,grey,2021-04-22T13:26:25-0800
https://anchorage.craigslist.org/ctd/d/anchorage-2009-chevrolet-chevy/7311063024.html,anchorage / mat-su,https://anchorage.craigslist.org,23995,2009,chevrolet,silverado,,,diesel,87648,clean,automatic,1GCHK43679F101132,4wd,pickup,white,2021-04-22T13:16:05-0800
